Date,Brient_Oil_Close,Brient_Oil_Volume,Brient_Oil_Change
3/7/2024,87.34,334.82K,1.28%
2/7/2024,86.24,429.15K,-0.42%
1/7/2024,86.6,401.36K,0.22%
28/06/2024,86.41,20.94K,0.02%
27/06/2024,86.39,119.99K,1.34%
26/06/2024,85.25,142.86K,0.28%
25/06/2024,85.01,197.50K,-1.16%
24/06/2024,86.01,179.76K,0.90%
21/06/2024,85.24,240.12K,-0.55%
20/06/2024,85.71,256.46K,0.75%
19/06/2024,85.07,251.83K,-0.30%
18/06/2024,85.33,402.24K,1.28%
17/06/2024,84.25,359.72K,2.64%
14/06/2024,82.08,308.91K,-0.27%
13/06/2024,82.3,279.64K,0.18%
12/6/2024,82.15,260.33K,0.75%
11/6/2024,81.54,259.22K,0.38%
10/6/2024,81.23,238.25K,2.38%
7/6/2024,79.34,201.17K,-0.20%
6/6/2024,79.5,281.44K,1.87%
5/6/2024,78.04,257.85K,1.00%
4/6/2024,77.27,346.39K,-1.21%
3/6/2024,78.22,317.47K,-4.17%
31/05/2024,81.62,17.29K,-0.29%
30/05/2024,81.86,105.41K,-2.08%
29/05/2024,83.6,127.27K,-0.74%
28/05/2024,84.22,184.26K,1.35%
27/05/2024,83.1,56.71K,1.19%
24/05/2024,82.12,180.64K,0.93%
23/05/2024,81.36,322.41K,-0.66%
22/05/2024,81.9,347.60K,-1.18%
21/05/2024,82.88,388.56K,-0.99%
20/05/2024,83.71,299.83K,-0.32%
17/05/2024,83.98,277.18K,0.85%
16/05/2024,83.27,305.71K,0.63%
15/05/2024,82.75,385.98K,0.45%
14/05/2024,82.38,333.57K,-1.18%
13/05/2024,83.36,331.78K,0.69%
10/5/2024,82.79,311.45K,-1.30%
9/5/2024,83.88,309.45K,0.36%
8/5/2024,83.58,395.43K,0.51%
7/5/2024,83.16,365.21K,-0.20%
6/5/2024,83.33,222.39K,0.45%
3/5/2024,82.96,335.57K,-0.85%
2/5/2024,83.67,392.64K,0.28%
1/5/2024,83.44,482.83K,-5.03%
30/04/2024,87.86,14.19K,-0.61%
29/04/2024,88.4,99.95K,-1.23%
26/04/2024,89.5,113.70K,0.55%
25/04/2024,89.01,241.35K,1.12%
24/04/2024,88.02,241.64K,-0.45%
23/04/2024,88.42,341.78K,1.63%
22/04/2024,87,372.13K,-0.33%
19/04/2024,87.29,499.71K,0.21%
18/04/2024,87.11,433.24K,-0.21%
17/04/2024,87.29,462.93K,-3.03%
16/04/2024,90.02,323.52K,-0.09%
15/04/2024,90.1,410.36K,-0.39%
12/4/2024,90.45,401.22K,0.79%
11/4/2024,89.74,377.53K,-0.82%
10/4/2024,90.48,371.23K,1.19%
9/4/2024,89.42,346.43K,-1.06%
8/4/2024,90.38,392.34K,-0.87%
5/4/2024,91.17,390.78K,0.57%
4/4/2024,90.65,390.95K,1.45%
3/4/2024,89.35,367.37K,0.48%
2/4/2024,88.92,427.94K,1.72%
1/4/2024,87.42,274.96K,-0.07%
28/03/2024,87.48,18.69K,1.61%
27/03/2024,86.09,96.51K,-0.19%
26/03/2024,86.25,126.82K,-0.58%
25/03/2024,86.75,175.00K,1.55%
22/03/2024,85.43,168.35K,-0.41%
21/03/2024,85.78,271.87K,-0.20%
20/03/2024,85.95,386.30K,-1.64%
19/03/2024,87.38,367.42K,0.56%
18/03/2024,86.89,390.07K,1.82%
15/03/2024,85.34,287.01K,-0.09%
14/03/2024,85.42,383.73K,1.65%
13/03/2024,84.03,391.69K,2.58%
12/3/2024,81.92,320.25K,-0.35%
11/3/2024,82.21,347.33K,0.16%
8/3/2024,82.08,320.30K,-1.06%
7/3/2024,82.96,374.57K,0.00%
6/3/2024,82.96,372.05K,1.12%
5/3/2024,82.04,450.40K,-0.92%
4/3/2024,82.8,369.83K,-0.90%
1/3/2024,83.55,402.47K,-0.08%
29/02/2024,83.62,16.34K,-0.07%
28/02/2024,83.68,107.85K,0.04%
27/02/2024,83.65,79.81K,1.36%
26/02/2024,82.53,180.34K,1.11%
23/02/2024,81.62,226.40K,-2.45%
22/02/2024,83.67,275.28K,0.77%
21/02/2024,83.03,305.18K,0.84%
20/02/2024,82.34,297.03K,-1.46%
19/02/2024,83.56,185.06K,0.11%
16/02/2024,83.47,337.06K,0.74%
15/02/2024,82.86,330.45K,1.54%
14/02/2024,81.6,344.36K,-1.41%
13/02/2024,82.77,331.80K,0.94%
12/2/2024,82,246.24K,-0.23%
9/2/2024,82.19,315.32K,0.69%
8/2/2024,81.63,436.50K,3.06%
7/2/2024,79.21,291.68K,0.79%
6/2/2024,78.59,305.61K,0.77%
5/2/2024,77.99,293.37K,0.85%
2/2/2024,77.33,411.75K,-1.74%
1/2/2024,78.7,525.77K,-3.68%
31/01/2024,81.71,14.38K,-1.40%
30/01/2024,82.87,89.31K,0.57%
29/01/2024,82.4,129.91K,-1.38%
26/01/2024,83.55,240.25K,1.36%
25/01/2024,82.43,248.18K,2.99%
24/01/2024,80.04,230.75K,0.62%
23/01/2024,79.55,331.10K,-0.64%
22/01/2024,80.06,319.71K,1.91%
19/01/2024,78.56,282.31K,-0.68%
18/01/2024,79.1,325.29K,1.57%
17/01/2024,77.88,355.40K,-0.52%
16/01/2024,78.29,298.55K,0.18%
15/01/2024,78.15,177.69K,-0.18%
12/1/2024,78.29,401.34K,1.14%
11/1/2024,77.41,396.77K,0.79%
10/1/2024,76.8,353.70K,-1.02%
9/1/2024,77.59,346.79K,1.93%
8/1/2024,76.12,342.63K,-3.35%
5/1/2024,78.76,291.00K,1.51%
4/1/2024,77.59,356.65K,-0.84%
3/1/2024,78.25,361.77K,3.11%
2/1/2024,75.89,338.35K,-1.49%
29/12/2023,77.04,192.95K,-1.72%
28/12/2023,78.39,18.78K,-1.58%
27/12/2023,79.65,70.39K,-1.75%
26/12/2023,81.07,59.74K,2.53%
22/12/2023,79.07,119.19K,-0.40%
21/12/2023,79.39,193.32K,-0.39%
20/12/2023,79.7,241.81K,0.59%
19/12/2023,79.23,214.68K,1.64%
18/12/2023,77.95,279.47K,1.83%
15/12/2023,76.55,223.09K,-0.08%
14/12/2023,76.61,257.52K,3.16%
13/12/2023,74.26,260.18K,1.39%
12/12/2023,73.24,310.09K,-3.67%
