Date,Dax_Close,Dax_Volume,Dax_Change
4/7/2024,"18,453.95",19.46M,0.43%
3/7/2024,"18,374.53",59.16M,1.16%
2/7/2024,"18,164.06",57.15M,-0.69%
1/7/2024,"18,290.66",55.85M,0.30%
28/06/2024,"18,235.45",64.59M,0.14%
27/06/2024,"18,210.55",54.45M,0.30%
26/06/2024,"18,155.24",56.45M,-0.12%
25/06/2024,"18,177.62",54.13M,-0.81%
24/06/2024,"18,325.58",61.74M,0.89%
21/06/2024,"18,163.52",154.54M,-0.50%
20/06/2024,"18,254.18",59.52M,1.03%
19/06/2024,"18,067.91",52.04M,-0.35%
18/06/2024,"18,131.97",50.84M,0.35%
17/06/2024,"18,068.21",57.82M,0.37%
14/06/2024,"18,002.02",92.52M,-1.44%
13/06/2024,"18,265.68",72.49M,-1.96%
12/6/2024,"18,630.86",61.49M,1.42%
11/6/2024,"18,369.94",63.76M,-0.68%
10/6/2024,"18,494.89",53.45M,-0.34%
7/6/2024,"18,557.27",61.38M,-0.51%
6/6/2024,"18,652.67",60.88M,0.41%
5/6/2024,"18,575.94",63.88M,0.93%
4/6/2024,"18,405.64",81.41M,-1.09%
3/6/2024,"18,608.16",54.18M,0.60%
31/05/2024,"18,497.94",144.01M,0.01%
30/05/2024,"18,496.79",52.35M,0.13%
29/05/2024,"18,473.29",59.55M,-1.10%
28/05/2024,"18,677.87",52.67M,-0.52%
27/05/2024,"18,774.71",37.34M,0.44%
24/05/2024,"18,693.37",53.86M,0.01%
23/05/2024,"18,691.32",63.72M,0.06%
22/05/2024,"18,680.20",57.98M,-0.25%
21/05/2024,"18,726.76",65.73M,-0.22%
20/05/2024,"18,768.96",41.19M,0.35%
17/05/2024,"18,704.42",75.99M,-0.18%
16/05/2024,"18,738.81",76.32M,-0.69%
15/05/2024,"18,869.36",81.63M,0.82%
14/05/2024,"18,716.42",73.29M,-0.14%
13/05/2024,"18,742.22",66.37M,-0.16%
10/5/2024,"18,772.85",87.91M,0.46%
9/5/2024,"18,686.60",53.61M,1.02%
8/5/2024,"18,498.38",74.22M,0.37%
7/5/2024,"18,430.05",85.37M,1.40%
6/5/2024,"18,175.21",46.04M,1.01%
3/5/2024,"17,993.69",71.26M,0.54%
2/5/2024,"17,896.50",71.33M,-0.20%
30/04/2024,"17,932.17",88.21M,-1.03%
29/04/2024,"18,118.32",77.25M,-0.24%
26/04/2024,"18,161.01",76.01M,1.36%
25/04/2024,"17,917.28",101.52M,-0.95%
24/04/2024,"18,088.70",75.10M,-0.27%
23/04/2024,"18,137.65",68.53M,1.55%
22/04/2024,"17,860.80",62.45M,0.70%
19/04/2024,"17,737.36",79.45M,-0.56%
18/04/2024,"17,837.40",60.70M,0.38%
17/04/2024,"17,770.02",55.97M,0.02%
16/04/2024,"17,766.23",73.22M,-1.44%
15/04/2024,"18,026.58",65.14M,0.54%
12/4/2024,"17,930.32",78.99M,-0.13%
11/4/2024,"17,954.48",84.37M,-0.79%
10/4/2024,"18,097.30",83.35M,0.11%
9/4/2024,"18,076.69",65.28M,-1.32%
8/4/2024,"18,318.97",61.07M,0.79%
5/4/2024,"18,175.04",77.05M,-1.24%
4/4/2024,"18,403.13",62.52M,0.19%
3/4/2024,"18,367.72",76.33M,0.46%
2/4/2024,"18,283.13",82.08M,-1.13%
28/03/2024,"18,492.49",75.72M,0.08%
27/03/2024,"18,477.09",66.34M,0.50%
26/03/2024,"18,384.35",58.79M,0.67%
25/03/2024,"18,261.31",53.80M,0.30%
22/03/2024,"18,205.94",68.62M,0.15%
21/03/2024,"18,179.25",79.12M,0.91%
20/03/2024,"18,015.13",61.71M,0.15%
19/03/2024,"17,987.49",73.42M,0.31%
18/03/2024,"17,932.68",63.02M,-0.02%
15/03/2024,"17,936.65",202.91M,-0.03%
14/03/2024,"17,942.04",93.59M,-0.11%
13/03/2024,"17,961.38",92.88M,-0.02%
12/3/2024,"17,965.11",91.39M,1.23%
11/3/2024,"17,746.27",66.65M,-0.38%
8/3/2024,"17,814.51",67.94M,-0.16%
7/3/2024,"17,842.85",86.70M,0.71%
6/3/2024,"17,716.71",91.49M,0.10%
5/3/2024,"17,698.40",74.18M,-0.10%
4/3/2024,"17,716.17",1.22M,-0.11%
1/3/2024,"17,735.07",85.78M,0.32%
29/02/2024,"17,678.19",102.74M,0.44%
28/02/2024,"17,601.22",56.65M,0.25%
27/02/2024,"17,556.49",59.73M,0.76%
26/02/2024,"17,423.23",53.16M,0.02%
23/02/2024,"17,419.33",76.80M,0.28%
