Date,DJ_Close,DJ_Volume,DJ_Change
3/7/2024,"39,308.00",202.07M,-0.06%
2/7/2024,"39,331.85",325.02M,0.41%
1/7/2024,"39,169.52",353.38M,0.13%
28/06/2024,"39,118.86",688.50M,-0.12%
27/06/2024,"39,164.06",352.60M,0.09%
26/06/2024,"39,127.80",340.84M,0.04%
25/06/2024,"39,112.16",344.64M,-0.76%
24/06/2024,"39,411.21",387.00M,0.67%
21/06/2024,"39,150.33",838.54M,0.04%
20/06/2024,"39,134.76",404.72M,0.77%
18/06/2024,"38,834.86",327.60M,0.15%
17/06/2024,"38,778.10",351.11M,0.49%
14/06/2024,"38,589.16",275.11M,-0.15%
13/06/2024,"38,647.10",343.99M,-0.17%
12/6/2024,"38,712.21",477.29M,-0.09%
11/6/2024,"38,747.42",388.66M,-0.31%
10/6/2024,"38,868.04",336.86M,0.18%
7/6/2024,"38,798.99",272.34M,-0.22%
6/6/2024,"38,886.17",270.19M,0.20%
5/6/2024,"38,807.33",315.04M,0.25%
4/6/2024,"38,711.29",312.99M,0.36%
3/6/2024,"38,571.03",320.21M,-0.30%
31/05/2024,"38,686.32",624.93M,1.51%
30/05/2024,"38,111.48",365.27M,-0.86%
29/05/2024,"38,441.54",294.72M,-1.06%
28/05/2024,"38,852.86",306.72M,-0.55%
24/05/2024,"39,069.59",254.83M,0.01%
23/05/2024,"39,065.26",338.76M,-1.53%
22/05/2024,"39,671.04",260.94M,-0.51%
21/05/2024,"39,872.99",318.22M,0.17%
20/05/2024,"39,806.77",275.31M,-0.49%
17/05/2024,"40,003.59",305.08M,0.34%
16/05/2024,"39,869.38",404.94M,-0.10%
15/05/2024,"39,908.00",424.32M,0.88%
14/05/2024,"39,558.11",326.25M,0.32%
13/05/2024,"39,431.51",325.23M,-0.21%
10/5/2024,"39,512.84",291.49M,0.32%
9/5/2024,"39,387.76",307.17M,0.85%
8/5/2024,"39,056.39",292.35M,0.44%
7/5/2024,"38,884.26",366.81M,0.08%
6/5/2024,"38,852.27",319.43M,0.46%
3/5/2024,"38,675.68",400.95M,1.18%
2/5/2024,"38,225.86",348.19M,0.85%
1/5/2024,"37,902.57",408.59M,0.23%
30/04/2024,"37,815.85",417.17M,-1.49%
29/04/2024,"38,386.09",345.68M,0.38%
26/04/2024,"38,239.66",401.46M,0.40%
25/04/2024,"38,085.80",417.16M,-0.98%
24/04/2024,"38,460.92",342.89M,-0.11%
23/04/2024,"38,503.69",329.42M,0.69%
22/04/2024,"38,240.57",339.29M,0.67%
19/04/2024,"37,986.53",407.00M,0.55%
18/04/2024,"37,778.21",291.61M,0.07%
17/04/2024,"37,753.37",310.47M,-0.12%
16/04/2024,"37,798.77",323.70M,0.17%
15/04/2024,"37,735.24",374.40M,-0.65%
12/4/2024,"37,983.24",426.71M,-1.24%
11/4/2024,"38,459.08",346.13M,-0.01%
10/4/2024,"38,461.51",312.68M,-1.09%
9/4/2024,"38,883.94",324.79M,-0.02%
8/4/2024,"38,892.80",281.00M,-0.03%
5/4/2024,"38,904.10",310.97M,0.79%
4/4/2024,"38,597.30",347.12M,-1.35%
3/4/2024,"39,127.01",354.33M,-0.11%
2/4/2024,"39,171.22",306.77M,-1.00%
1/4/2024,"39,566.85",267.48M,-0.60%
28/03/2024,"39,807.18",338.82M,0.12%
27/03/2024,"39,760.41",321.54M,1.22%
26/03/2024,"39,282.59",294.97M,-0.08%
25/03/2024,"39,313.77",309.47M,-0.41%
22/03/2024,"39,475.64",316.21M,-0.77%
21/03/2024,"39,781.50",386.08M,0.68%
20/03/2024,"39,512.13",338.76M,1.03%
19/03/2024,"39,110.21",295.74M,0.82%
18/03/2024,"38,790.43",322.70M,0.20%
15/03/2024,"38,714.77",688.90M,-0.49%
14/03/2024,"38,905.92",368.38M,-0.35%
13/03/2024,"39,043.39",323.36M,0.10%
12/3/2024,"39,005.40",317.39M,0.61%
11/3/2024,"38,769.73",294.08M,0.12%
8/3/2024,"38,723.15",337.24M,-0.18%
7/3/2024,"38,791.35",331.71M,0.34%
6/3/2024,"38,661.12",338.93M,0.20%
5/3/2024,"38,585.19",386.72M,-1.04%
4/3/2024,"38,989.83",381.58M,-0.25%
1/3/2024,"39,087.38",324.51M,0.23%
29/02/2024,"38,995.93",468.47M,0.12%
28/02/2024,"38,949.29",263.37M,-0.06%
27/02/2024,"38,972.74",266.84M,-0.25%
26/02/2024,"39,069.30",284.35M,-0.16%
23/02/2024,"39,131.53",280.88M,0.16%
22/02/2024,"39,068.98",316.71M,1.18%
21/02/2024,"38,612.18",268.12M,0.12%
20/02/2024,"38,564.03",314.61M,-0.17%
16/02/2024,"38,627.99",274.75M,-0.37%
15/02/2024,"38,773.12",300.35M,0.91%
14/02/2024,"38,423.68",265.90M,0.40%
13/02/2024,"38,272.49",305.80M,-1.35%
12/2/2024,"38,797.90",260.66M,0.33%
9/2/2024,"38,671.30",294.58M,-0.14%
8/2/2024,"38,726.13",303.22M,0.13%
7/2/2024,"38,677.36",291.14M,0.41%
6/2/2024,"38,520.96",265.39M,0.37%
5/2/2024,"38,379.59",310.70M,-0.71%
2/2/2024,"38,654.62",372.10M,0.35%
1/2/2024,"38,519.77",311.72M,0.97%
31/01/2024,"38,150.30",426.28M,-0.82%
30/01/2024,"38,467.38",310.77M,0.35%
29/01/2024,"38,333.26",303.11M,0.59%
26/01/2024,"38,109.43",383.41M,0.16%
25/01/2024,"38,049.13",390.44M,0.64%
24/01/2024,"37,806.52",329.69M,-0.26%
23/01/2024,"37,905.51",330.60M,-0.25%
22/01/2024,"38,001.81",325.98M,0.37%
19/01/2024,"37,863.60",362.99M,1.05%
18/01/2024,"37,468.68",331.08M,0.54%
17/01/2024,"37,266.67",282.57M,-0.25%
16/01/2024,"37,360.99",363.47M,-0.62%
12/1/2024,"37,593.24",269.52M,-0.31%
11/1/2024,"37,711.15",295.94M,0.04%
10/1/2024,"37,695.67",274.73M,0.45%
9/1/2024,"37,525.10",282.70M,-0.42%
8/1/2024,"37,683.01",355.60M,0.58%
5/1/2024,"37,466.11",294.55M,0.07%
4/1/2024,"37,440.34",366.61M,0.03%
3/1/2024,"37,430.19",315.39M,-0.76%
2/1/2024,"37,715.04",340.52M,0.07%
29/12/2023,"37,689.54",228.30M,-0.06%
28/12/2023,"37,710.63",196.93M,0.14%
27/12/2023,"37,656.52",243.55M,0.30%
26/12/2023,"37,545.33",210.44M,0.43%
22/12/2023,"37,385.97",249.72M,-0.05%
21/12/2023,"37,404.35",246.57M,0.87%
20/12/2023,"37,082.39",289.71M,-1.27%
19/12/2023,"37,557.98",259.63M,0.68%
18/12/2023,"37,305.95",280.46M,-0.01%
15/12/2023,"37,309.22",649.35M,0.16%
14/12/2023,"37,248.28",442.70M,0.42%
13/12/2023,"37,090.83",341.51M,1.40%
12/12/2023,"36,577.94",280.72M,0.48%
11/12/2023,"36,404.80",329.22M,0.43%
8/12/2023,"36,247.74",275.24M,0.36%
7/12/2023,"36,117.57",277.04M,0.18%
6/12/2023,"36,054.43",275.37M,-0.19%
5/12/2023,"36,124.56",303.78M,-0.22%
4/12/2023,"36,204.44",324.11M,-0.11%
1/12/2023,"36,245.50",314.41M,0.82%
30/11/2023,"35,950.96",372.35M,1.47%
29/11/2023,"35,430.55",283.05M,0.04%
28/11/2023,"35,416.91",252.35M,0.24%
27/11/2023,"35,333.40",249.92M,-0.16%
24/11/2023,"35,390.57",97.67M,0.33%
22/11/2023,"35,272.77",232.92M,0.53%
21/11/2023,"35,088.29",263.11M,-0.18%
20/11/2023,"35,150.97",320.68M,0.58%
17/11/2023,"34,947.28",323.66M,0.00%
16/11/2023,"34,945.60",428.29M,-0.13%
15/11/2023,"34,991.21",332.23M,0.47%
14/11/2023,"34,827.70",322.06M,1.43%
13/11/2023,"34,337.67",238.99M,0.16%
10/11/2023,"34,283.10",290.39M,1.15%
9/11/2023,"33,891.68",314.48M,-0.65%
8/11/2023,"34,112.80",265.50M,-0.12%
7/11/2023,"34,152.80",273.98M,0.17%
6/11/2023,"34,095.86",258.08M,0.10%
3/11/2023,"34,061.32",303.22M,0.66%
2/11/2023,"33,839.11",296.57M,1.70%
1/11/2023,"33,274.58",299.87M,0.67%
31/10/2023,"33,052.74",292.50M,0.38%
30/10/2023,"32,928.83",292.74M,1.58%
27/10/2023,"32,418.05",367.18M,-1.12%
26/10/2023,"32,784.30",369.36M,-0.76%
25/10/2023,"33,035.93",348.53M,-0.32%
24/10/2023,"33,141.32",347.13M,0.62%
23/10/2023,"32,936.34",337.82M,-0.58%
20/10/2023,"33,127.21",318.40M,-0.86%
19/10/2023,"33,413.45",298.76M,-0.75%
18/10/2023,"33,665.35",280.04M,-0.98%
17/10/2023,"33,997.98",275.76M,0.04%
16/10/2023,"33,984.21",264.87M,0.93%
13/10/2023,"33,670.36",297.68M,0.12%
12/10/2023,"33,631.14",283.54M,-0.51%
11/10/2023,"33,804.81",248.94M,0.19%
10/10/2023,"33,739.30",246.67M,0.40%
9/10/2023,"33,604.65",226.24M,0.59%
6/10/2023,"33,407.58",327.42M,0.87%
5/10/2023,"33,119.57",272.37M,-0.03%
4/10/2023,"33,129.29",281.05M,0.38%
3/10/2023,"33,003.04",285.40M,-1.29%
2/10/2023,"33,433.35",263.49M,-0.22%
29/09/2023,"33,507.76",308.95M,-0.47%
28/09/2023,"33,666.14",268.83M,0.34%
27/09/2023,"33,550.67",288.29M,-0.20%
26/09/2023,"33,618.69",272.49M,-1.14%
25/09/2023,"34,007.15",220.56M,0.13%
22/09/2023,"33,964.44",261.74M,-0.31%
21/09/2023,"34,070.35",327.13M,-1.08%
20/09/2023,"34,440.88",284.03M,-0.22%
19/09/2023,"34,518.26",274.28M,-0.31%
18/09/2023,"34,624.27",244.46M,0.02%
15/09/2023,"34,618.77",517.83M,-0.83%
14/09/2023,"34,907.51",290.38M,0.96%
13/09/2023,"34,575.70",277.54M,-0.21%
12/9/2023,"34,647.44",309.33M,-0.05%
11/9/2023,"34,664.77",280.44M,0.25%
8/9/2023,"34,577.28",283.84M,0.22%
7/9/2023,"34,500.99",373.57M,0.16%
6/9/2023,"34,444.38",298.64M,-0.57%
5/9/2023,"34,642.10",275.10M,-0.56%
1/9/2023,"34,838.01",281.88M,0.34%
31/08/2023,"34,721.16",304.14M,-0.49%
30/08/2023,"34,890.77",226.08M,0.11%
29/08/2023,"34,852.87",254.96M,0.85%
28/08/2023,"34,560.04",220.65M,0.62%
25/08/2023,"34,346.96",250.71M,0.72%
24/08/2023,"34,099.91",330.75M,-1.09%
23/08/2023,"34,474.17",347.55M,0.54%
22/08/2023,"34,289.03",267.06M,-0.51%
21/08/2023,"34,464.41",370.40M,-0.11%
18/08/2023,"34,501.88",310.20M,0.08%
17/08/2023,"34,473.90",381.16M,-0.84%
16/08/2023,"34,765.64",319.37M,-0.52%
15/08/2023,"34,946.86",313.10M,-1.02%
14/08/2023,"35,307.63",303.58M,0.07%
11/8/2023,"35,281.40",281.95M,0.30%
10/8/2023,"35,176.15",340.73M,0.15%
9/8/2023,"35,123.36",315.45M,-0.54%
8/8/2023,"35,314.49",308.55M,-0.45%
7/8/2023,"35,473.13",301.69M,1.16%
4/8/2023,"35,065.62",342.03M,-0.43%
3/8/2023,"35,215.89",264.87M,-0.19%
2/8/2023,"35,282.52",301.32M,-0.98%
1/8/2023,"35,630.68",261.00M,0.20%
31/07/2023,"35,559.53",333.14M,0.28%
28/07/2023,"35,459.29",369.00M,0.50%
27/07/2023,"35,282.72",352.23M,-0.67%
26/07/2023,"35,520.12",347.33M,0.23%
25/07/2023,"35,438.07",309.33M,0.08%
24/07/2023,"35,411.24",286.17M,0.52%
21/07/2023,"35,227.69",476.66M,0.01%
20/07/2023,"35,225.18",342.32M,0.47%
19/07/2023,"35,061.21",369.62M,0.31%
18/07/2023,"34,951.93",388.39M,1.06%
17/07/2023,"34,585.35",359.78M,0.22%
14/07/2023,"34,509.03",301.91M,0.33%
13/07/2023,"34,395.14",276.38M,0.14%
12/7/2023,"34,347.43",334.07M,0.25%
11/7/2023,"34,261.42",281.65M,0.93%
10/7/2023,"33,944.40",301.54M,0.62%
7/7/2023,"33,734.88",274.73M,-0.55%
6/7/2023,"33,922.26",296.24M,-1.07%
5/7/2023,"34,288.64",278.25M,-0.38%
3/7/2023,"34,418.47",157.60M,0.03%
30/06/2023,"34,407.60",353.29M,0.84%
29/06/2023,"34,122.42",279.94M,0.80%
28/06/2023,"33,852.66",268.05M,-0.22%
27/06/2023,"33,926.74",296.26M,0.63%
26/06/2023,"33,714.71",267.56M,-0.04%
23/06/2023,"33,727.43",382.71M,-0.65%
22/06/2023,"33,946.71",278.55M,-0.01%
21/06/2023,"33,951.52",326.24M,-0.30%
20/06/2023,"34,053.87",344.62M,-0.72%
16/06/2023,"34,299.12",609.15M,-0.32%
15/06/2023,"34,408.06",362.53M,1.26%
14/06/2023,"33,979.33",358.49M,-0.68%
13/06/2023,"34,212.12",310.68M,0.43%
12/6/2023,"34,066.33",309.50M,0.56%
9/6/2023,"33,876.78",263.23M,0.13%
8/6/2023,"33,833.61",272.72M,0.50%
7/6/2023,"33,665.02",351.54M,0.27%
6/6/2023,"33,573.28",295.70M,0.03%
5/6/2023,"33,562.86",371.10M,-0.59%
2/6/2023,"33,762.76",389.26M,2.12%
1/6/2023,"33,061.57",349.46M,0.47%
31/05/2023,"32,908.27",695.13M,-0.41%
30/05/2023,"33,042.78",324.22M,-0.15%
26/05/2023,"33,093.34",333.80M,1.00%
25/05/2023,"32,764.65",371.26M,-0.11%
24/05/2023,"32,799.92",253.32M,-0.77%
23/05/2023,"33,055.51",294.26M,-0.69%
22/05/2023,"33,286.58",271.48M,-0.42%
19/05/2023,"33,426.63",315.21M,-0.33%
18/05/2023,"33,535.91",333.07M,0.34%
17/05/2023,"33,420.77",310.71M,1.24%
16/05/2023,"33,012.14",247.67M,-1.01%
15/05/2023,"33,348.60",224.52M,0.14%
12/5/2023,"33,300.62",228.72M,-0.03%
11/5/2023,"33,309.51",306.79M,-0.66%
10/5/2023,"33,531.33",278.73M,-0.09%
9/5/2023,"33,561.81",235.14M,-0.17%
8/5/2023,"33,618.69",225.68M,-0.17%
5/5/2023,"33,674.38",318.57M,1.65%
4/5/2023,"33,127.74",317.32M,-0.86%
3/5/2023,"33,414.24",292.78M,-0.80%
2/5/2023,"33,684.53",275.73M,-1.08%
1/5/2023,"34,051.70",248.60M,-0.14%
28/04/2023,"34,098.16",358.27M,0.80%
27/04/2023,"33,826.16",347.46M,1.57%
26/04/2023,"33,301.87",325.37M,-0.68%
25/04/2023,"33,530.83",302.75M,-1.02%
24/04/2023,"33,875.40",260.22M,0.20%
21/04/2023,"33,808.96",294.96M,0.07%
20/04/2023,"33,786.62",309.68M,-0.33%
19/04/2023,"33,897.01",254.11M,-0.23%
18/04/2023,"33,976.63",256.48M,-0.03%
17/04/2023,"33,987.18",235.83M,0.30%
14/04/2023,"33,886.47",276.72M,-0.42%
13/04/2023,"34,029.69",277.24M,1.14%
12/4/2023,"33,646.50",260.31M,-0.11%
11/4/2023,"33,684.79",241.44M,0.29%
10/4/2023,"33,586.52",232.92M,0.30%
6/4/2023,"33,485.29",258.68M,0.01%
5/4/2023,"33,482.72",288.10M,0.24%
4/4/2023,"33,402.38",287.79M,-0.59%
3/4/2023,"33,601.15",316.61M,0.98%
31/03/2023,"33,274.15",353.74M,1.26%
30/03/2023,"32,859.03",289.10M,0.43%
29/03/2023,"32,717.60",317.45M,1.00%
28/03/2023,"32,394.25",248.56M,-0.12%
27/03/2023,"32,432.08",291.56M,0.60%
24/03/2023,"32,237.53",317.08M,0.41%
23/03/2023,"32,105.25",335.43M,0.23%
22/03/2023,"32,030.11",333.03M,-1.63%
21/03/2023,"32,560.60",367.47M,0.98%
20/03/2023,"32,244.58",360.21M,1.20%
17/03/2023,"31,861.98",722.09M,-1.19%
16/03/2023,"32,246.55",444.39M,1.17%
15/03/2023,"31,874.57",428.11M,-0.87%
14/03/2023,"32,155.40",395.73M,1.06%
13/03/2023,"31,819.14",431.15M,-0.28%
10/3/2023,"31,909.64",400.24M,-1.07%
9/3/2023,"32,254.86",318.64M,-1.66%
8/3/2023,"32,798.40",242.76M,-0.18%
7/3/2023,"32,856.46",301.59M,-1.72%
6/3/2023,"33,431.44",329.82M,0.12%
3/3/2023,"33,390.97",302.95M,1.17%
2/3/2023,"33,003.57",319.32M,1.05%
1/3/2023,"32,661.84",296.34M,0.02%
28/02/2023,"32,656.70",308.69M,-0.71%
27/02/2023,"32,889.09",246.23M,0.22%
24/02/2023,"32,816.92",277.12M,-1.02%
23/02/2023,"33,153.91",288.13M,0.33%
22/02/2023,"33,045.09",325.33M,-0.26%
21/02/2023,"33,129.59",348.32M,-2.06%
17/02/2023,"33,826.69",303.77M,0.39%
16/02/2023,"33,696.85",317.54M,-1.26%
15/02/2023,"34,128.05",269.85M,0.11%
14/02/2023,"34,089.27",291.75M,-0.46%
13/02/2023,"34,245.93",303.58M,1.11%
10/2/2023,"33,869.27",289.72M,0.50%
9/2/2023,"33,699.88",347.53M,-0.73%
8/2/2023,"33,949.01",324.09M,-0.61%
7/2/2023,"34,156.69",361.63M,0.78%
6/2/2023,"33,891.02",296.40M,-0.10%
3/2/2023,"33,926.01",425.15M,-0.38%
2/2/2023,"34,053.94",442.57M,-0.11%
1/2/2023,"34,092.96",370.13M,0.02%
31/01/2023,"34,086.04",360.25M,1.09%
30/01/2023,"33,717.09",346.04M,-0.77%
27/01/2023,"33,978.08",444.13M,0.08%
26/01/2023,"33,949.41",333.74M,0.61%
25/01/2023,"33,743.84",344.39M,0.03%
24/01/2023,"33,733.96",305.71M,0.31%
23/01/2023,"33,629.56",357.54M,0.76%
20/01/2023,"33,375.49",369.42M,1.00%
19/01/2023,"33,044.56",321.33M,-0.76%
18/01/2023,"33,296.96",354.57M,-1.81%
17/01/2023,"33,910.85",355.39M,-1.14%
13/01/2023,"34,302.61",274.12M,0.33%
12/1/2023,"34,189.97",308.20M,0.64%
11/1/2023,"33,973.01",301.65M,0.80%
10/1/2023,"33,704.10",269.50M,0.56%
9/1/2023,"33,517.65",327.85M,-0.34%
6/1/2023,"33,630.61",365.50M,2.13%
5/1/2023,"32,930.08",342.67M,-1.02%
4/1/2023,"33,269.77",383.35M,0.40%
3/1/2023,"33,136.37",358.61M,-0.03%
30/12/2022,"33,147.25",296.19M,-0.22%
29/12/2022,"33,220.80",245.84M,1.05%
28/12/2022,"32,875.71",254.30M,-1.10%
27/12/2022,"33,241.56",246.01M,0.11%
23/12/2022,"33,203.93",221.05M,0.53%
22/12/2022,"33,027.49",342.11M,-1.05%
21/12/2022,"33,376.48",328.02M,1.60%
20/12/2022,"32,849.74",303.98M,0.28%
19/12/2022,"32,757.54",330.04M,-0.49%
16/12/2022,"32,920.46",788.12M,-0.85%
15/12/2022,"33,202.22",394.30M,-2.25%
14/12/2022,"33,966.35",344.32M,-0.42%
13/12/2022,"34,108.64",443.98M,0.30%
12/12/2022,"34,005.04",321.12M,1.58%
9/12/2022,"33,476.46",292.62M,-0.90%
8/12/2022,"33,781.48",272.73M,0.55%
7/12/2022,"33,597.92",295.40M,0.00%
6/12/2022,"33,596.34",307.79M,-1.03%
5/12/2022,"33,947.10",315.96M,-1.40%
2/12/2022,"34,429.88",291.06M,0.10%
1/12/2022,"34,395.01",349.58M,-0.56%
30/11/2022,"34,589.77",552.49M,2.18%
29/11/2022,"33,852.53",282.17M,0.01%
28/11/2022,"33,849.46",303.02M,-1.45%
25/11/2022,"34,347.03",131.93M,0.45%
23/11/2022,"34,194.06",236.82M,0.28%
22/11/2022,"34,098.10",279.60M,1.18%
21/11/2022,"33,700.28",352.96M,-0.13%
18/11/2022,"33,745.69",314.53M,0.59%
17/11/2022,"33,546.32",321.57M,-0.02%
16/11/2022,"33,553.83",305.54M,-0.12%
15/11/2022,"33,592.92",391.84M,0.17%
14/11/2022,"33,536.70",360.59M,-0.63%
11/11/2022,"33,747.86",430.72M,0.10%
10/11/2022,"33,715.37",488.26M,3.70%
9/11/2022,"32,513.94",360.82M,-1.95%
8/11/2022,"33,160.83",342.88M,1.02%
7/11/2022,"32,827.00",341.10M,1.31%
4/11/2022,"32,403.22",425.48M,1.26%
3/11/2022,"32,001.25",357.27M,-0.46%
2/11/2022,"32,147.76",399.65M,-1.55%
1/11/2022,"32,653.20",325.57M,-0.24%
31/10/2022,"32,732.95",394.10M,-0.39%
28/10/2022,"32,861.80",499.42M,2.59%
27/10/2022,"32,033.28",392.53M,0.61%
26/10/2022,"31,839.11",430.40M,0.01%
25/10/2022,"31,836.74",342.09M,1.07%
24/10/2022,"31,499.62",345.04M,1.34%
21/10/2022,"31,082.56",418.19M,2.47%
20/10/2022,"30,333.59",333.19M,-0.30%
19/10/2022,"30,423.81",315.54M,-0.33%
18/10/2022,"30,523.80",390.76M,1.12%
17/10/2022,"30,185.82",374.23M,1.86%
14/10/2022,"29,634.83",380.98M,-1.34%
13/10/2022,"30,038.72",472.67M,2.83%
12/10/2022,"29,210.85",306.53M,-0.10%
11/10/2022,"29,239.19",358.47M,0.12%
10/10/2022,"29,202.88",318.47M,-0.32%
7/10/2022,"29,296.79",370.38M,-2.11%
6/10/2022,"29,926.94",308.95M,-1.15%
5/10/2022,"30,273.87",292.04M,-0.14%
4/10/2022,"30,316.32",379.03M,2.80%
3/10/2022,"29,490.89",397.83M,2.66%
30/09/2022,"28,725.51",466.86M,-1.71%
29/09/2022,"29,225.61",392.42M,-1.54%
28/09/2022,"29,683.74",439.14M,1.88%
27/09/2022,"29,134.99",356.59M,-0.43%
26/09/2022,"29,260.81",374.49M,-1.11%
23/09/2022,"29,590.41",389.45M,-1.62%
22/09/2022,"30,076.68",335.27M,-0.35%
21/09/2022,"30,183.78",354.96M,-1.70%
20/09/2022,"30,706.23",320.69M,-1.01%
19/09/2022,"31,019.68",296.57M,0.64%
16/09/2022,"30,822.42",627.92M,-0.45%
15/09/2022,"30,961.82",349.09M,-0.56%
14/09/2022,"31,135.09",353.88M,0.10%
13/09/2022,"31,104.97",433.80M,-3.94%
12/9/2022,"32,381.34",343.96M,0.71%
9/9/2022,"32,151.71",312.40M,1.19%
8/9/2022,"31,774.52",344.34M,0.61%
7/9/2022,"31,581.28",355.10M,1.40%
6/9/2022,"31,145.30",348.98M,-0.55%
2/9/2022,"31,318.44",306.18M,-1.07%
1/9/2022,"31,656.42",339.36M,0.46%
31/08/2022,"31,510.43",392.78M,-0.88%
30/08/2022,"31,790.87",328.64M,-0.96%
29/08/2022,"32,098.99",320.09M,-0.57%
26/08/2022,"32,283.40",352.85M,-3.03%
25/08/2022,"33,291.78",308.53M,0.98%
24/08/2022,"32,969.23",258.94M,0.18%
23/08/2022,"32,909.59",254.46M,-0.47%
22/08/2022,"33,063.61",308.90M,-1.91%
19/08/2022,"33,706.74",298.43M,-0.86%
18/08/2022,"33,999.04",284.14M,0.06%
17/08/2022,"33,980.32",285.73M,-0.50%
16/08/2022,"34,152.01",291.75M,0.71%
15/08/2022,"33,912.44",263.72M,0.45%
12/8/2022,"33,761.05",299.14M,1.27%
11/8/2022,"33,336.67",309.72M,0.08%
10/8/2022,"33,309.51",317.91M,1.63%
9/8/2022,"32,774.41",283.45M,-0.18%
8/8/2022,"32,832.54",279.11M,0.09%
5/8/2022,"32,803.47",276.17M,0.23%
4/8/2022,"32,726.82",318.77M,-0.26%
3/8/2022,"32,812.50",344.30M,1.29%
