Date,EGO_Closing,EGO_Volume,EGO_Change
3/7/2024,15.47,892.57K,4.39%
2/7/2024,14.82,1.59M,0.95%
1/7/2024,14.68,582.57K,-0.74%
28/06/2024,14.79,813.22K,-0.14%
27/06/2024,14.81,1.27M,0.20%
26/06/2024,14.78,1.35M,-1.47%
25/06/2024,15,820.75K,0.00%
24/06/2024,15,981.53K,0.00%
21/06/2024,15,4.69M,-1.96%
20/06/2024,15.3,1.44M,3.10%
18/06/2024,14.84,1.05M,1.85%
17/06/2024,14.57,1.60M,-1.35%
14/06/2024,14.77,1.51M,0.54%
13/06/2024,14.69,1.64M,-2.20%
12/6/2024,15.02,1.39M,1.14%
11/6/2024,14.85,1.06M,-1.00%
10/6/2024,15,1.39M,-0.27%
7/6/2024,15.04,2.33M,-8.07%
6/6/2024,16.36,1.96M,4.07%
5/6/2024,15.72,1.07M,-0.13%
4/6/2024,15.74,1.09M,-2.84%
3/6/2024,16.2,1.36M,0.19%
31/05/2024,16.17,1.28M,-0.80%
30/05/2024,16.3,931.38K,1.43%
29/05/2024,16.07,1.67M,1.20%
28/05/2024,15.88,976.79K,1.86%
24/05/2024,15.59,1.01M,1.63%
23/05/2024,15.34,1.36M,-2.42%
22/05/2024,15.72,1.48M,-4.84%
21/05/2024,16.52,1.18M,0.24%
20/05/2024,16.48,1.42M,1.79%
17/05/2024,16.19,1.68M,5.89%
16/05/2024,15.29,1.24M,2.00%
15/05/2024,14.99,983.67K,1.15%
14/05/2024,14.82,978.76K,-1.66%
13/05/2024,15.07,874.87K,-1.44%
10/5/2024,15.29,1.58M,1.39%
9/5/2024,15.08,1.50M,-0.07%
8/5/2024,15.09,1.03M,1.00%
7/5/2024,14.94,969.19K,1.29%
6/5/2024,14.75,947.64K,3.07%
3/5/2024,14.31,1.26M,-2.25%
2/5/2024,14.64,1.25M,1.67%
1/5/2024,14.4,1.27M,0.98%
30/04/2024,14.26,1.39M,-6.12%
29/04/2024,15.19,1.50M,-0.07%
26/04/2024,15.2,2.14M,2.84%
25/04/2024,14.78,1.60M,3.07%
24/04/2024,14.34,780.34K,-0.76%
23/04/2024,14.45,1.22M,0.98%
22/04/2024,14.31,1.65M,-4.85%
19/04/2024,15.04,2.33M,0.94%
18/04/2024,14.9,836.55K,-0.40%
17/04/2024,14.96,1.31M,-0.66%
16/04/2024,15.06,1.32M,-0.26%
15/04/2024,15.1,1.59M,-0.26%
12/4/2024,15.14,2.68M,-2.95%
11/4/2024,15.6,1.76M,1.96%
10/4/2024,15.3,1.45M,-2.30%
9/4/2024,15.66,2.89M,3.92%
8/4/2024,15.07,2.41M,-0.33%
5/4/2024,15.12,3.31M,2.65%
4/4/2024,14.73,3.06M,-1.93%
3/4/2024,15.02,1.88M,1.69%
2/4/2024,14.77,3.25M,2.71%
1/4/2024,14.38,1.61M,2.20%
28/03/2024,14.07,2.60M,0.72%
27/03/2024,13.97,1.46M,2.80%
26/03/2024,13.59,1.19M,0.74%
25/03/2024,13.49,1.49M,0.60%
22/03/2024,13.41,1.14M,0.68%
21/03/2024,13.32,1.96M,-0.37%
20/03/2024,13.37,1.71M,2.93%
19/03/2024,12.99,2.04M,-0.54%
18/03/2024,13.06,1.32M,0.31%
15/03/2024,13.02,2.70M,2.04%
14/03/2024,12.76,1.74M,1.11%
13/03/2024,12.62,896.65K,1.61%
12/3/2024,12.42,1.09M,0.73%
11/3/2024,12.33,1.20M,0.98%
8/3/2024,12.21,1.61M,-0.73%
7/3/2024,12.3,1.18M,1.15%
6/3/2024,12.16,1.59M,3.05%
5/3/2024,11.8,3.23M,3.87%
4/3/2024,11.36,2.35M,4.89%
1/3/2024,10.83,2.04M,4.23%
29/02/2024,10.39,1.57M,2.36%
28/02/2024,10.15,1.60M,-1.74%
27/02/2024,10.33,2.31M,-4.00%
26/02/2024,10.76,1.85M,1.61%
23/02/2024,10.59,4.97M,-6.03%
22/02/2024,11.27,1.54M,-0.88%
21/02/2024,11.37,2.30M,0.62%
20/02/2024,11.3,1.92M,3.29%
16/02/2024,10.94,1.58M,-0.91%
15/02/2024,11.04,1.69M,1.47%
14/02/2024,10.88,1.07M,0.28%
13/02/2024,10.85,2.93M,-8.05%
12/2/2024,11.8,946.60K,-0.76%
9/2/2024,11.89,1.29M,-2.22%
8/2/2024,12.16,1.07M,-1.38%
7/2/2024,12.33,886.42K,-0.40%
6/2/2024,12.38,641.07K,1.48%
5/2/2024,12.2,756.14K,-1.37%
2/2/2024,12.37,1.71M,-4.11%
1/2/2024,12.9,1.47M,5.65%
31/01/2024,12.21,1.24M,0.91%
30/01/2024,12.1,1.26M,0.25%
29/01/2024,12.07,1.73M,-1.07%
26/01/2024,12.2,1.23M,-1.77%
25/01/2024,12.42,1.42M,3.59%
24/01/2024,11.99,2.28M,-5.22%
23/01/2024,12.65,1.22M,-0.63%
22/01/2024,12.73,1.25M,0.71%
19/01/2024,12.64,1.22M,0.16%
18/01/2024,12.62,1.26M,0.64%
17/01/2024,12.54,1.21M,-1.03%
16/01/2024,12.67,1.12M,-0.39%
12/1/2024,12.72,1.21M,4.69%
11/1/2024,12.15,902.04K,-0.33%
10/1/2024,12.19,912.90K,0.91%
9/1/2024,12.08,757.61K,-0.41%
8/1/2024,12.13,1.17M,1.42%
5/1/2024,11.96,1.43M,0.34%
4/1/2024,11.92,1.60M,0.25%
3/1/2024,11.89,2.04M,-5.78%
2/1/2024,12.62,1.62M,-2.70%
29/12/2023,12.97,1.24M,-0.77%
28/12/2023,13.07,1.26M,-1.73%
27/12/2023,13.3,1.16M,0.00%
26/12/2023,13.3,821.67K,0.15%
22/12/2023,13.28,3.12M,1.84%
21/12/2023,13.04,1.70M,2.60%
20/12/2023,12.71,1.72M,-3.64%
19/12/2023,13.19,1.52M,3.05%
18/12/2023,12.8,1.22M,1.03%
15/12/2023,12.67,3.51M,0.64%
14/12/2023,12.59,2.32M,-0.71%
13/12/2023,12.68,2.37M,6.11%
12/12/2023,11.95,1.80M,-2.77%
11/12/2023,12.29,1.34M,-1.60%
8/12/2023,12.49,2.35M,-2.57%
7/12/2023,12.82,1.30M,-0.77%
6/12/2023,12.92,1.57M,0.70%
5/12/2023,12.83,1.93M,-1.76%
4/12/2023,13.06,2.39M,-3.40%
1/12/2023,13.52,2.65M,2.97%
30/11/2023,13.13,1.86M,1.39%
29/11/2023,12.95,1.68M,-0.15%
28/11/2023,12.97,3.08M,5.79%
27/11/2023,12.26,2.09M,2.42%
24/11/2023,11.97,1.39M,2.57%
22/11/2023,11.67,1.45M,1.74%
21/11/2023,11.47,2.22M,3.43%
20/11/2023,11.09,1.17M,-0.45%
17/11/2023,11.14,1.37M,0.27%
16/11/2023,11.11,1.70M,4.22%
15/11/2023,10.66,870.09K,-0.47%
14/11/2023,10.71,1.58M,4.08%
13/11/2023,10.29,1.39M,-1.25%
10/11/2023,10.42,1.16M,-1.04%
9/11/2023,10.53,1.25M,0.48%
8/11/2023,10.48,1.42M,-3.23%
7/11/2023,10.83,1.88M,-2.78%
6/11/2023,11.14,899.38K,-0.54%
3/11/2023,11.2,3.11M,2.56%
2/11/2023,10.92,3.11M,-0.27%
1/11/2023,10.95,1.93M,1.30%
31/10/2023,10.81,3.11M,-0.64%
30/10/2023,10.88,3.08M,0.93%
27/10/2023,10.78,4.20M,9.11%
26/10/2023,9.88,1.75M,-3.14%
25/10/2023,10.2,2.33M,-1.35%
24/10/2023,10.34,1.70M,0.98%
23/10/2023,10.24,2.32M,0.29%
20/10/2023,10.21,2.07M,0.79%
19/10/2023,10.13,1.36M,0.60%
18/10/2023,10.07,1.61M,1.10%
17/10/2023,9.96,1.17M,2.05%
16/10/2023,9.76,1.21M,-0.41%
13/10/2023,9.8,1.92M,5.04%
12/10/2023,9.33,1.52M,-2.81%
11/10/2023,9.6,1.85M,5.38%
10/10/2023,9.11,938.39K,1.00%
9/10/2023,9.02,854.76K,1.01%
6/10/2023,8.93,1.35M,2.64%
5/10/2023,8.7,960.82K,2.72%
4/10/2023,8.47,1.52M,-2.42%
3/10/2023,8.68,1.24M,2.97%
2/10/2023,8.43,2.17M,-5.39%
29/09/2023,8.91,728.55K,-0.56%
28/09/2023,8.96,1.97M,-0.33%
27/09/2023,8.99,1.55M,-2.18%
26/09/2023,9.19,1.48M,-4.17%
25/09/2023,9.59,1.25M,-0.10%
22/09/2023,9.6,608.05K,-1.13%
21/09/2023,9.71,722.63K,-3.38%
20/09/2023,10.05,705.57K,0.50%
19/09/2023,10,1.02M,-1.28%
18/09/2023,10.13,867.40K,1.10%
15/09/2023,10.02,4.76M,2.87%
14/09/2023,9.74,767.35K,1.14%
13/09/2023,9.63,776.36K,-1.03%
12/9/2023,9.73,1.11M,-0.71%
11/9/2023,9.8,1.15M,3.59%
8/9/2023,9.46,988.56K,-0.11%
7/9/2023,9.47,644.60K,-0.73%
6/9/2023,9.54,961.06K,-0.31%
5/9/2023,9.57,1.90M,0.10%
1/9/2023,9.56,749.08K,-0.10%
31/08/2023,9.57,747.47K,0.21%
30/08/2023,9.55,862.24K,0.84%
29/08/2023,9.47,589.97K,2.82%
28/08/2023,9.21,729.32K,3.02%
25/08/2023,8.94,644.83K,-1.32%
24/08/2023,9.06,958.02K,-1.63%
23/08/2023,9.21,1.28M,5.02%
22/08/2023,8.77,1.22M,0.92%
21/08/2023,8.69,880.17K,0.35%
18/08/2023,8.66,744.58K,-1.14%
17/08/2023,8.76,909.67K,-0.57%
16/08/2023,8.81,1.17M,-0.34%
15/08/2023,8.84,1.28M,-2.00%
14/08/2023,9.02,484.29K,-1.53%
11/8/2023,9.16,1.36M,0.88%
10/8/2023,9.08,917.45K,-0.11%
9/8/2023,9.09,686.76K,-0.87%
8/8/2023,9.17,745.93K,-0.43%
7/8/2023,9.21,765.51K,-0.32%
4/8/2023,9.24,1.03M,0.22%
3/8/2023,9.22,1.15M,-1.71%
2/8/2023,9.38,2.04M,-3.00%
1/8/2023,9.67,1.08M,-1.43%
31/07/2023,9.81,1.26M,1.98%
28/07/2023,9.62,3.03M,-5.22%
27/07/2023,10.15,2.53M,-6.37%
26/07/2023,10.84,1.55M,-1.54%
25/07/2023,11.01,764.74K,0.55%
24/07/2023,10.95,784.36K,-0.27%
21/07/2023,10.98,849.86K,-0.99%
20/07/2023,11.09,967.35K,-2.38%
19/07/2023,11.36,1.25M,0.09%
18/07/2023,11.35,912.81K,1.61%
17/07/2023,11.17,991.95K,0.72%
14/07/2023,11.09,850.61K,0.09%
13/07/2023,11.08,1.16M,1.00%
12/7/2023,10.97,2.42M,5.99%
11/7/2023,10.35,1.04M,0.19%
10/7/2023,10.33,1.04M,3.92%
7/7/2023,9.94,797.57K,1.33%
6/7/2023,9.81,1.20M,-2.78%
5/7/2023,10.09,1.18M,-1.66%
3/7/2023,10.26,495.74K,1.58%
30/06/2023,10.1,1.45M,1.51%
29/06/2023,9.95,1.44M,1.84%
