Date,Hseng_Close,Hseng_Volume,Hseng_Change
4/7/2024,"18,028.28",2.99B,0.28%
3/7/2024,"17,978.57",3.09B,1.18%
2/7/2024,"17,769.14",3.37B,0.29%
28/06/2024,"17,718.61",2.83B,0.01%
27/06/2024,"17,716.47",2.81B,-2.06%
26/06/2024,"18,089.93",2.31B,0.09%
25/06/2024,"18,072.90",2.33B,0.25%
24/06/2024,"18,027.71",2.72B,0.00%
21/06/2024,"18,028.52",3.43B,-1.67%
20/06/2024,"18,335.32",2.68B,-0.52%
19/06/2024,"18,430.39",3.51B,2.87%
18/06/2024,"17,915.55",2.55B,-0.11%
17/06/2024,"17,936.12",2.12B,-0.03%
14/06/2024,"17,941.78",2.62B,-0.94%
13/06/2024,"18,112.63",2.33B,0.97%
12/6/2024,"17,937.84",3.14B,-1.31%
11/6/2024,"18,176.34",3.53B,-1.04%
7/6/2024,"18,366.95",3.31B,-0.59%
6/6/2024,"18,476.80",2.80B,0.28%
5/6/2024,"18,424.96",3.25B,-0.10%
4/6/2024,"18,444.11",2.97B,0.22%
3/6/2024,"18,403.04",3.14B,1.79%
31/05/2024,"18,079.61",5.34B,-0.83%
30/05/2024,"18,230.19",3.49B,-1.34%
29/05/2024,"18,477.01",3.22B,-1.83%
28/05/2024,"18,821.16",2.43B,-0.03%
27/05/2024,"18,827.35",2.91B,1.17%
24/05/2024,"18,608.94",3.55B,-1.38%
23/05/2024,"18,868.71",3.17B,-1.70%
22/05/2024,"19,195.60",2.84B,-0.13%
21/05/2024,"19,220.62",3.52B,-2.12%
20/05/2024,"19,636.22",3.50B,0.42%
17/05/2024,"19,553.61",4.38B,0.91%
16/05/2024,"19,376.53",5.81B,1.59%
14/05/2024,"19,073.71",3.46B,-0.22%
13/05/2024,"19,115.06",3.76B,0.80%
10/5/2024,"18,963.68",6.51B,2.30%
9/5/2024,"18,537.81",2.90B,1.22%
8/5/2024,"18,313.86",2.91B,-0.90%
7/5/2024,"18,479.37",2.49B,-0.53%
6/5/2024,"18,578.30",3.44B,0.55%
3/5/2024,"18,475.92",2.48B,1.48%
2/5/2024,"18,207.13",2.42B,2.50%
30/04/2024,"17,763.03",3.68B,0.09%
29/04/2024,"17,746.91",4.85B,0.54%
26/04/2024,"17,651.15",3.85B,2.12%
25/04/2024,"17,284.54",3.15B,0.48%
24/04/2024,"17,201.27",3.31B,2.21%
23/04/2024,"16,828.93",2.99B,1.92%
22/04/2024,"16,511.69",2.92B,1.77%
19/04/2024,"16,224.14",3.39B,-0.99%
18/04/2024,"16,385.87",3.23B,0.82%
17/04/2024,"16,251.84",2.45B,0.02%
16/04/2024,"16,248.97",3.09B,-2.12%
15/04/2024,"16,600.46",2.56B,-0.72%
12/4/2024,"16,721.69",2.84B,-2.18%
11/4/2024,"17,095.03",2.48B,-0.26%
10/4/2024,"17,139.17",2.55B,1.85%
9/4/2024,"16,828.07",2.12B,0.57%
8/4/2024,"16,732.85",2.64B,0.05%
5/4/2024,"16,723.92",1.80B,-0.01%
3/4/2024,"16,725.10",2.67B,-1.22%
2/4/2024,"16,931.52",3.98B,2.36%
28/03/2024,"16,541.42",3.20B,0.91%
27/03/2024,"16,392.84",2.77B,-1.36%
26/03/2024,"16,618.32",2.75B,0.88%
25/03/2024,"16,473.64",2.62B,-0.16%
22/03/2024,"16,499.47",3.11B,-2.16%
21/03/2024,"16,863.10",3.22B,1.93%
20/03/2024,"16,543.07",2.29B,0.08%
19/03/2024,"16,529.48",2.43B,-1.24%
18/03/2024,"16,737.12",2.24B,0.10%
15/03/2024,"16,720.89",3.78B,-1.42%
14/03/2024,"16,961.66",2.70B,-0.71%
13/03/2024,"17,082.11",2.80B,-0.07%
12/3/2024,"17,093.50",4.00B,3.05%
11/3/2024,"16,587.57",2.49B,1.43%
8/3/2024,"16,353.39",2.60B,0.76%
7/3/2024,"16,229.78",2.54B,-1.27%
6/3/2024,"16,438.09",2.49B,1.70%
5/3/2024,"16,162.64",2.70B,-2.61%
4/3/2024,"16,595.97",2.52B,0.04%
1/3/2024,"16,589.44",2.88B,0.47%
29/02/2024,"16,511.44",3.38B,-0.15%
28/02/2024,"16,536.85",2.59B,-1.51%
27/02/2024,"16,790.80",2.42B,0.94%
26/02/2024,"16,634.74",2.25B,-0.54%
23/02/2024,"16,725.86",2.90B,-0.10%
22/02/2024,"16,742.95",2.74B,1.45%
