Date,Nikkei_Close,Nikkei_Volume,Nikkei_Change
4/7/2024,"40,882.50",32.30K,0.39%
3/7/2024,"40,725.00",36.29K,1.27%
2/7/2024,"40,212.50",40.70K,1.77%
1/7/2024,"39,512.50",31.65K,-0.25%
28/06/2024,"39,610.00",32.03K,0.14%
27/06/2024,"39,555.00",35.30K,-0.20%
26/06/2024,"39,635.00",32.72K,1.29%
25/06/2024,"39,130.00",30.31K,0.99%
24/06/2024,"38,747.50",30.83K,0.40%
21/06/2024,"38,595.00",24.39K,0.00%
20/06/2024,"38,595.00",21.55K,0.27%
19/06/2024,"38,490.00",22.18K,-0.34%
18/06/2024,"38,622.50",26.88K,0.48%
17/06/2024,"38,437.50",47.55K,-1.02%
14/06/2024,"38,835.00",33.69K,0.30%
13/06/2024,"38,720.00",46.52K,-0.62%
12/6/2024,"38,960.00",20.14K,-0.59%
11/6/2024,"39,190.00",16.50K,0.10%
10/6/2024,"39,150.00",12.24K,1.29%
7/6/2024,"38,650.00",32.61K,0.04%
6/6/2024,"38,635.00",32.09K,-0.95%
5/6/2024,"39,005.00",35.58K,1.18%
4/6/2024,"38,550.00",34.44K,-0.31%
3/6/2024,"38,670.00",40.02K,0.47%
31/05/2024,"38,490.00",58.14K,0.92%
30/05/2024,"38,140.00",43.12K,0.18%
29/05/2024,"38,072.50",30.04K,-2.09%
28/05/2024,"38,885.00",14.20K,-0.06%
27/05/2024,"38,907.50",22.54K,0.80%
24/05/2024,"38,600.00",35.62K,0.44%
23/05/2024,"38,430.00",31.14K,-1.20%
22/05/2024,"38,895.00",27.60K,0.01%
21/05/2024,"38,892.50",,-1.09%
20/05/2024,"39,320.00",,1.47%
19/05/2024,"38,750.00",,0.10%
17/05/2024,"38,710.00",,-0.45%
16/05/2024,"38,885.00",34.83K,0.34%
15/05/2024,"38,755.00",,0.31%
14/05/2024,"38,635.00",,1.32%
13/05/2024,"38,130.00",24.67K,-0.23%
10/5/2024,"38,217.50",,-0.59%
9/5/2024,"38,445.00",,0.45%
8/5/2024,"38,272.50",,-1.08%
7/5/2024,"38,690.00",,-0.57%
6/5/2024,"38,910.00",,1.10%
5/5/2024,"38,485.00",,0.35%
3/5/2024,"38,352.50",,1.09%
2/5/2024,"37,940.00",,-0.35%
1/5/2024,"38,075.00",,0.01%
30/04/2024,"38,072.50",,-0.85%
29/04/2024,"38,400.00",,-0.04%
28/04/2024,"38,415.00",,0.14%
26/04/2024,"38,360.00",,1.44%
25/04/2024,"37,815.00",,-0.24%
24/04/2024,"37,905.00",,-0.36%
23/04/2024,"38,042.50",,0.65%
22/04/2024,"37,795.00",,1.48%
21/04/2024,"37,245.00",,0.36%
19/04/2024,"37,110.00",,-1.45%
18/04/2024,"37,657.50",,-0.28%
17/04/2024,"37,765.00",,-2.27%
16/04/2024,"38,642.50",,-0.12%
15/04/2024,"38,690.00",,-0.85%
14/04/2024,"39,020.00",,0.37%
12/4/2024,"38,875.00",,-1.28%
11/4/2024,"39,380.00",0.01K,0.79%
10/4/2024,"39,070.00",,-1.40%
9/4/2024,"39,625.00",,0.69%
8/4/2024,"39,355.00",0.01K,0.10%
5/4/2024,"39,317.50",,0.26%
4/4/2024,"39,215.00",,-2.16%
3/4/2024,"40,080.00",,1.29%
2/4/2024,"39,570.00",31.42K,-0.72%
1/4/2024,"39,855.00",0.01K,-1.64%
29/03/2024,"40,520.00",27.16K,0.33%
28/03/2024,"40,387.50",31.91K,-0.02%
27/03/2024,"40,395.00",35.25K,0.23%
26/03/2024,"40,302.50",27.83K,0.48%
25/03/2024,"40,110.00",28.35K,-1.45%
22/03/2024,"40,700.00",33.25K,-0.27%
21/03/2024,"40,810.00",44.32K,1.03%
20/03/2024,"40,395.00",23.21K,1.24%
19/03/2024,"39,900.00",38.66K,1.00%
18/03/2024,"39,505.00",42.62K,2.85%
15/03/2024,"38,410.00",35.87K,0.29%
14/03/2024,"38,300.00",31.26K,-0.23%
13/03/2024,"38,390.00",47.67K,-1.44%
12/3/2024,"38,952.50",46.27K,1.73%
11/3/2024,"38,290.00",57.60K,-2.90%
8/3/2024,"39,435.00",77.21K,-0.39%
7/3/2024,"39,590.00",20.99K,-0.68%
6/3/2024,"39,860.00",20.46K,-0.13%
5/3/2024,"39,910.00",15.74K,-0.52%
4/3/2024,"40,120.00",48.30K,0.30%
1/3/2024,"40,000.00",44.10K,1.68%
29/02/2024,"39,340.00",37.10K,0.96%
28/02/2024,"38,965.00",22.12K,-0.69%
27/02/2024,"39,237.50",29.52K,0.02%
26/02/2024,"39,230.00",29.33K,-0.58%
23/02/2024,"39,460.00",21.81K,0.82%
