Date,Platin_Close,Platin_Volume,Platin_Change
3/7/2024,"1,013.40",,0.42%
2/7/2024,"1,009.20",,2.07%
1/7/2024,988.7,,-2.00%
30/06/2024,"1,008.90",,-0.51%
28/06/2024,"1,014.10",32.57K,0.79%
27/06/2024,"1,006.20",31.99K,-2.73%
26/06/2024,"1,034.40",,3.54%
25/06/2024,999,18.96K,-1.46%
24/06/2024,"1,013.80",16.55K,1.14%
23/06/2024,"1,002.35",,-0.57%
21/06/2024,"1,008.10",19.44K,2.42%
20/06/2024,984.3,44.74K,0.31%
19/06/2024,981.3,,0.42%
18/06/2024,977.2,31.24K,0.65%
17/06/2024,970.9,27.79K,1.01%
16/06/2024,961.2,,0.27%
14/06/2024,958.6,23.40K,0.42%
13/06/2024,954.6,33.15K,-1.69%
12/6/2024,971,32.80K,1.26%
11/6/2024,958.9,29.52K,-1.82%
10/6/2024,976.7,24.20K,0.23%
9/6/2024,974.45,,0.34%
7/6/2024,971.1,37.98K,-4.00%
6/6/2024,"1,011.60",22.44K,1.13%
5/6/2024,"1,000.30",29.48K,0.44%
4/6/2024,995.9,33.51K,-2.63%
3/6/2024,"1,022.80",29.37K,-2.20%
2/6/2024,"1,045.80",,0.36%
31/05/2024,"1,042.00",31.21K,0.39%
30/05/2024,"1,038.00",27.57K,-0.50%
29/05/2024,"1,043.20",0.06K,-1.79%
28/05/2024,"1,062.20",0.32K,-0.25%
27/05/2024,"1,064.85",,2.53%
26/05/2024,"1,038.55",,0.36%
24/05/2024,"1,034.80",0.03K,0.89%
23/05/2024,"1,025.70",0.07K,-1.88%
22/05/2024,"1,045.30",0.07K,-1.26%
21/05/2024,"1,058.60",0.07K,-0.37%
20/05/2024,"1,062.50",0.10K,-2.98%
19/05/2024,"1,095.10",,0.66%
17/05/2024,"1,087.90",0.15K,1.89%
16/05/2024,"1,067.70",0.17K,0.20%
15/05/2024,"1,065.60",0.19K,2.21%
14/05/2024,"1,042.60",0.17K,3.49%
13/05/2024,"1,007.40",0.05K,0.44%
12/5/2024,"1,003.00",,-0.14%
10/5/2024,"1,004.40",0.12K,1.62%
9/5/2024,988.4,0.03K,0.61%
8/5/2024,982.4,0.08K,-0.41%
7/5/2024,986.4,0.08K,2.53%
6/5/2024,962.1,0.06K,0.29%
5/5/2024,959.3,,-0.62%
3/5/2024,965.3,28.69K,0.28%
2/5/2024,962.6,26.93K,0.81%
1/5/2024,954.9,32.78K,0.71%
30/04/2024,948.2,30.29K,-1.38%
29/04/2024,961.5,40.39K,4.17%
28/04/2024,923.05,,0.31%
26/04/2024,920.2,0.15K,0.17%
25/04/2024,918.6,0.14K,0.51%
24/04/2024,913.9,0.11K,-0.66%
23/04/2024,920,0.39K,-0.87%
22/04/2024,928.1,0.05K,-1.71%
21/04/2024,944.2,,0.04%
19/04/2024,943.8,,-1.12%
18/04/2024,954.5,,0.03%
17/04/2024,954.2,,-2.15%
16/04/2024,975.2,,-0.59%
15/04/2024,981,,-0.92%
14/04/2024,990.15,,-1.15%
12/4/2024,"1,001.70",,1.39%
11/4/2024,988,28.98K,1.19%
10/4/2024,976.4,,-0.78%
9/4/2024,984.1,,0.99%
8/4/2024,974.5,,4.17%
7/4/2024,935.45,,-0.55%
5/4/2024,940.6,,-1.26%
4/4/2024,952.6,,0.64%
3/4/2024,946.5,,1.31%
2/4/2024,934.3,36.25K,2.51%
1/4/2024,911.4,,-1.40%
31/03/2024,924.35,,0.15%
29/03/2024,923,,0.21%
28/03/2024,921.1,25.09K,1.25%
27/03/2024,909.7,,-0.89%
26/03/2024,917.9,,-0.12%
25/03/2024,919,24.80K,0.89%
24/03/2024,910.9,,1.39%
22/03/2024,898.4,,-1.60%
21/03/2024,913,39.21K,1.51%
20/03/2024,899.4,38.43K,-0.19%
19/03/2024,901.1,41.58K,-2.18%
18/03/2024,921.2,32.81K,-2.15%
17/03/2024,941.45,,-0.22%
15/03/2024,943.5,33.42K,0.83%
14/03/2024,935.7,29.94K,-0.97%
13/03/2024,944.9,29.37K,1.80%
12/3/2024,928.2,41.08K,-1.31%
11/3/2024,940.5,37.02K,2.17%
10/3/2024,920.5,,0.62%
8/3/2024,914.8,33.33K,-0.93%
7/3/2024,923.4,33.40K,0.98%
6/3/2024,914.4,35.69K,3.07%
5/3/2024,887.2,30.84K,-1.89%
4/3/2024,904.3,30.02K,1.64%
3/3/2024,889.75,,0.20%
1/3/2024,888,38.75K,0.45%
29/02/2024,884,24.81K,-0.12%
28/02/2024,885.1,23.74K,-0.76%
27/02/2024,891.9,0.11K,1.72%
26/02/2024,876.8,0.03K,-3.06%
25/02/2024,904.5,,-0.26%
23/02/2024,906.9,0.05K,0.15%
22/02/2024,905.5,,1.79%
21/02/2024,889.6,,-2.70%
20/02/2024,914.3,33.51K,0.96%
19/02/2024,905.65,,-0.83%
18/02/2024,913.2,,-0.03%
16/02/2024,913.5,,0.92%
15/02/2024,905.2,,0.88%
14/02/2024,897.3,,2.09%
13/02/2024,878.9,,-2.03%
12/2/2024,897.1,,1.75%
11/2/2024,881.65,,0.39%
9/2/2024,878.2,,-1.77%
8/2/2024,894,,0.80%
7/2/2024,886.9,,-2.71%
6/2/2024,911.6,,0.90%
5/2/2024,903.5,,-0.09%
4/2/2024,904.3,,0.30%
2/2/2024,901.6,,-2.24%
1/2/2024,922.3,,-1.10%
31/01/2024,932.6,,0.10%
30/01/2024,931.7,,-0.70%
29/01/2024,938.3,,2.09%
28/01/2024,919.05,,-0.24%
26/01/2024,921.3,,3.00%
25/01/2024,894.5,,-2.23%
24/01/2024,914.9,,1.04%
23/01/2024,905.5,,0.28%
22/01/2024,903,,-0.54%
21/01/2024,907.9,,0.10%
19/01/2024,907,,-0.55%
18/01/2024,912,,2.52%
17/01/2024,889.6,,-1.64%
16/01/2024,904.4,,-1.84%
15/01/2024,921.35,,0.39%
14/01/2024,917.8,,-0.36%
12/1/2024,921.1,,0.16%
11/1/2024,919.6,,-1.08%
10/1/2024,929.6,,-1.47%
9/1/2024,943.5,,-1.66%
8/1/2024,959.4,,-1.24%
7/1/2024,971.4,,-0.04%
5/1/2024,971.8,,0.57%
4/1/2024,966.3,,-2.11%
3/1/2024,987.1,,-1.12%
2/1/2024,998.3,,-0.78%
1/1/2024,"1,006.15",,-0.30%
29/12/2023,"1,009.20",18.53K,-1.37%
28/12/2023,"1,023.20",,0.96%
27/12/2023,"1,013.50",,1.80%
26/12/2023,995.6,,0.48%
25/12/2023,990.8,,0.92%
22/12/2023,981.8,,1.19%
21/12/2023,970.3,26.55K,-0.38%
20/12/2023,974,30.01K,0.85%
19/12/2023,965.8,25.86K,1.21%
18/12/2023,954.3,26.23K,0.91%
17/12/2023,945.65,,-0.73%
15/12/2023,952.6,38.07K,-1.58%
14/12/2023,967.9,42.83K,4.97%
13/12/2023,922.1,32.25K,-0.96%
12/12/2023,931,30.17K,1.67%
11/12/2023,915.7,20.16K,-0.99%
10/12/2023,924.85,,0.55%
8/12/2023,919.8,25.02K,0.86%
7/12/2023,912,26.88K,2.05%
6/12/2023,893.7,27.70K,-1.42%
5/12/2023,906.6,28.08K,-2.00%
4/12/2023,925.1,27.28K,-2.19%
3/12/2023,945.8,,1.04%
1/12/2023,936.1,23.11K,0.02%
30/11/2023,935.9,24.65K,-0.58%
29/11/2023,941.4,23.08K,-0.35%
28/11/2023,944.7,0.07K,2.91%
27/11/2023,918,0.05K,-1.84%
26/11/2023,935.25,,0.31%
24/11/2023,932.4,0.02K,0.95%
23/11/2023,923.6,,-0.24%
22/11/2023,925.8,0.04K,-1.66%
21/11/2023,941.4,0.02K,1.95%
20/11/2023,923.4,0.01K,2.60%
19/11/2023,900,,-0.55%
17/11/2023,905,,0.73%
16/11/2023,898.4,,-0.32%
15/11/2023,901.25,,1.18%
14/11/2023,890.7,,3.14%
13/11/2023,863.6,,1.74%
12/11/2023,848.85,,0.38%
10/11/2023,845.6,,-2.16%
9/11/2023,864.3,,-0.83%
8/11/2023,871.5,,-3.01%
7/11/2023,898.55,,-2.08%
6/11/2023,917.6,,-2.10%
5/11/2023,937.3,,-0.39%
3/11/2023,940.95,,1.11%
2/11/2023,930.6,,-0.46%
1/11/2023,934.9,,-1.06%
31/10/2023,944.9,,0.53%
