Date,SP_Close,SP_Change
3/7/2024,"5,537.02",0.51%
2/7/2024,"5,509.01",0.62%
1/7/2024,"5,475.09",0.27%
28/06/2024,"5,460.48",-0.41%
27/06/2024,"5,482.87",0.09%
26/06/2024,"5,477.90",0.16%
25/06/2024,"5,469.30",0.39%
24/06/2024,"5,447.87",-0.31%
21/06/2024,"5,464.62",-0.16%
20/06/2024,"5,473.17",-0.25%
18/06/2024,"5,487.03",0.25%
17/06/2024,"5,473.23",0.77%
14/06/2024,"5,431.60",-0.04%
13/06/2024,"5,433.74",0.23%
12/6/2024,"5,421.03",0.85%
11/6/2024,"5,375.32",0.27%
10/6/2024,"5,360.79",0.26%
7/6/2024,"5,346.99",-0.11%
6/6/2024,"5,352.96",-0.02%
5/6/2024,"5,354.03",1.18%
4/6/2024,"5,291.34",0.15%
3/6/2024,"5,283.40",0.11%
31/05/2024,"5,277.51",0.80%
30/05/2024,"5,235.48",-0.60%
29/05/2024,"5,266.95",-0.74%
28/05/2024,"5,306.04",0.02%
24/05/2024,"5,304.72",0.70%
23/05/2024,"5,267.84",-0.74%
22/05/2024,"5,307.01",-0.27%
21/05/2024,"5,321.41",0.25%
20/05/2024,"5,308.13",0.09%
17/05/2024,"5,303.27",0.12%
16/05/2024,"5,297.10",-0.21%
15/05/2024,"5,308.15",1.17%
14/05/2024,"5,246.68",0.48%
13/05/2024,"5,221.42",-0.02%
10/5/2024,"5,222.68",0.16%
9/5/2024,"5,214.08",0.51%
8/5/2024,"5,187.67",0.00%
7/5/2024,"5,187.70",0.13%
6/5/2024,"5,180.74",1.03%
3/5/2024,"5,127.79",1.26%
2/5/2024,"5,064.20",0.91%
1/5/2024,"5,018.39",-0.34%
30/04/2024,"5,035.69",-1.57%
29/04/2024,"5,116.17",0.32%
26/04/2024,"5,099.96",1.02%
25/04/2024,"5,048.42",-0.46%
24/04/2024,"5,071.63",0.02%
23/04/2024,"5,070.55",1.20%
22/04/2024,"5,010.60",0.87%
19/04/2024,"4,967.23",-0.88%
18/04/2024,"5,011.12",-0.22%
