Date,USO_Close,USO_Volume,USO_Change
3/7/2024,81.27,734.05K,0.20%
2/7/2024,81.11,1.18M,-0.53%
1/7/2024,81.54,2.27M,2.45%
28/06/2024,79.59,1.36M,-0.41%
27/06/2024,79.92,1.79M,1.49%
26/06/2024,78.75,1.58M,-0.19%
25/06/2024,78.9,1.27M,-1.00%
24/06/2024,79.7,1.40M,1.34%
21/06/2024,78.65,1.54M,-0.96%
20/06/2024,79.41,1.45M,0.94%
18/06/2024,78.67,1.76M,1.13%
17/06/2024,77.79,2.59M,2.25%
14/06/2024,76.08,2.35M,0.45%
13/06/2024,75.74,1.69M,-0.32%
12/6/2024,75.98,2.47M,0.62%
11/6/2024,75.51,1.89M,0.07%
10/6/2024,75.46,4.02M,3.34%
7/6/2024,73.02,2.05M,-0.33%
6/6/2024,73.26,1.93M,1.91%
5/6/2024,71.89,2.06M,1.13%
4/6/2024,71.09,2.42M,-1.03%
3/6/2024,71.83,5.76M,-4.00%
31/05/2024,74.82,2.04M,-0.94%
30/05/2024,75.53,2.34M,-1.36%
29/05/2024,76.57,1.62M,-1.40%
28/05/2024,77.66,2.30M,3.07%
24/05/2024,75.35,1.16M,1.21%
23/05/2024,74.45,1.92M,-0.56%
22/05/2024,74.87,2.21M,-1.69%
21/05/2024,76.16,2.01M,-0.74%
20/05/2024,76.73,2.04M,-0.31%
17/05/2024,76.97,2.02M,0.94%
16/05/2024,76.25,3.20M,0.49%
15/05/2024,75.88,3.66M,0.89%
14/05/2024,75.21,2.15M,-1.26%
13/05/2024,76.17,2.88M,1.10%
10/5/2024,75.34,2.43M,-1.54%
9/5/2024,76.52,2.23M,0.50%
8/5/2024,76.14,2.27M,0.86%
7/5/2024,75.49,4.10M,-0.20%
6/5/2024,75.64,6.11M,0.68%
3/5/2024,75.13,2.87M,-1.05%
2/5/2024,75.93,4.68M,0.00%
1/5/2024,75.93,5.93M,-3.13%
30/04/2024,78.38,3.81M,-1.41%
29/04/2024,79.5,3.93M,-1.11%
26/04/2024,80.39,1.59M,-0.06%
25/04/2024,80.44,2.98M,1.00%
24/04/2024,79.64,3.64M,-0.43%
23/04/2024,79.98,3.35M,1.52%
22/04/2024,78.78,3.28M,-0.09%
19/04/2024,78.85,7.61M,0.09%
18/04/2024,78.78,4.51M,-0.16%
17/04/2024,78.91,5.74M,-2.98%
16/04/2024,81.33,4.24M,-0.39%
15/04/2024,81.65,10.02M,0.15%
12/4/2024,81.53,9.72M,-0.02%
11/4/2024,81.55,6.29M,-0.66%
10/4/2024,82.09,6.81M,1.16%
9/4/2024,81.15,3.88M,-1.28%
8/4/2024,82.2,3.75M,-0.24%
5/4/2024,82.4,3.84M,0.16%
4/4/2024,82.27,6.07M,1.26%
3/4/2024,81.25,3.23M,0.57%
2/4/2024,80.79,4.24M,1.41%
1/4/2024,79.67,3.94M,1.19%
28/03/2024,78.73,4.75M,1.57%
27/03/2024,77.51,2.40M,0.28%
26/03/2024,77.29,2.78M,-0.60%
25/03/2024,77.76,2.19M,1.41%
22/03/2024,76.68,2.36M,-0.18%
21/03/2024,76.82,2.71M,-0.56%
20/03/2024,77.25,4.25M,-1.50%
19/03/2024,78.43,2.70M,0.58%
18/03/2024,77.98,3.35M,2.16%
15/03/2024,76.33,2.91M,0.04%
14/03/2024,76.3,4.19M,1.61%
13/03/2024,75.09,4.40M,2.37%
12/3/2024,73.35,4.11M,-0.37%
11/3/2024,73.62,3.07M,0.35%
8/3/2024,73.36,4.04M,-1.17%
7/3/2024,74.23,3.74M,-0.15%
6/3/2024,74.34,4.94M,1.21%
5/3/2024,73.45,4.24M,-0.76%
4/3/2024,74.01,3.32M,-1.27%
1/3/2024,74.96,5.36M,2.18%
29/02/2024,73.36,3.83M,-0.35%
28/02/2024,73.62,3.94M,-0.31%
27/02/2024,73.85,5.07M,1.46%
26/02/2024,72.79,3.57M,1.21%
23/02/2024,71.92,3.40M,-2.28%
22/02/2024,73.6,2.72M,0.55%
21/02/2024,73.2,3.77M,1.08%
20/02/2024,72.42,3.37M,-1.35%
16/02/2024,73.41,4.21M,0.78%
15/02/2024,72.84,4.19M,1.80%
14/02/2024,71.55,4.62M,-1.51%
13/02/2024,72.65,3.60M,0.75%
