Date,VNI_Close,VNI_Volume,VNI_Change
3/7/2024,"1,276.85",589.51K,0.56%
2/7/2024,"1,269.79",528.47K,1.21%
1/7/2024,"1,254.56",487.19K,0.74%
28/06/2024,"1,245.32",840.43K,-1.09%
27/06/2024,"1,259.09",596.99K,-0.17%
26/06/2024,"1,261.24",878.37K,0.37%
25/06/2024,"1,256.56",835.30K,0.19%
24/06/2024,"1,254.12",1.25M,-2.18%
21/06/2024,"1,282.02",834.75K,-0.02%
20/06/2024,"1,282.30",932.55K,0.20%
19/06/2024,"1,279.79",1.00M,0.02%
18/06/2024,"1,279.50",805.29K,0.37%
17/06/2024,"1,274.77",900.56K,-0.40%
14/06/2024,"1,279.91",1.11M,-1.66%
13/06/2024,"1,301.51",891.33K,0.10%
12/6/2024,"1,300.19",895.26K,1.23%
11/6/2024,"1,284.41",993.34K,-0.49%
10/6/2024,"1,290.67",858.65K,0.24%
7/6/2024,"1,287.58",698.28K,0.31%
6/6/2024,"1,283.56",893.07K,-0.06%
5/6/2024,"1,284.35",925.06K,0.06%
4/6/2024,"1,283.52",935.85K,0.28%
3/6/2024,"1,280.00",1.05M,1.45%
31/05/2024,"1,261.72",771.15K,-0.36%
30/05/2024,"1,266.32",1.05M,-0.50%
29/05/2024,"1,272.64",1.07M,-0.71%
28/05/2024,"1,281.73",868.58K,1.11%
27/05/2024,"1,267.68",726.70K,0.46%
24/05/2024,"1,261.93",1.37M,-1.49%
23/05/2024,"1,281.03",968.13K,1.11%
22/05/2024,"1,266.91",1.14M,-0.80%
21/05/2024,"1,277.14",972.16K,-0.03%
20/05/2024,"1,277.58",1.16M,0.35%
17/05/2024,"1,273.11",937.04K,0.34%
16/05/2024,"1,268.78",885.06K,1.15%
15/05/2024,"1,254.39",880.17K,0.89%
14/05/2024,"1,243.28",640.49K,0.25%
13/05/2024,"1,240.18",741.58K,-0.36%
10/5/2024,"1,244.70",669.11K,-0.32%
9/5/2024,"1,248.64",771.55K,-0.15%
8/5/2024,"1,250.46",981.80K,0.15%
7/5/2024,"1,248.63",707.90K,0.57%
6/5/2024,"1,241.58",864.63K,1.68%
3/5/2024,"1,221.03",643.43K,0.38%
2/5/2024,"1,216.36",570.36K,0.57%
26/04/2024,"1,209.52",620.88K,0.38%
25/04/2024,"1,204.97",569.65K,-0.05%
24/04/2024,"1,205.61",820.08K,2.40%
23/04/2024,"1,177.40",778.31K,-1.08%
22/04/2024,"1,190.22",708.58K,1.31%
19/04/2024,"1,174.85",1.07M,-1.52%
17/04/2024,"1,193.01",859.25K,-1.86%
16/04/2024,"1,215.68",1.36M,-0.08%
15/04/2024,"1,216.61",1.46M,-4.70%
12/4/2024,"1,276.60",944.45K,1.46%
11/4/2024,"1,258.20",686.82K,-0.03%
10/4/2024,"1,258.56",702.28K,-0.34%
9/4/2024,"1,262.82",717.43K,1.00%
8/4/2024,"1,250.35",876.04K,-0.38%
5/4/2024,"1,255.11",1.08M,-1.04%
4/4/2024,"1,268.25",980.91K,-0.25%
3/4/2024,"1,271.47",1.08M,-1.21%
2/4/2024,"1,287.04",1.09M,0.43%
1/4/2024,"1,281.52",971.21K,-0.20%
29/03/2024,"1,284.09",922.55K,-0.47%
28/03/2024,"1,290.18",1.01M,0.55%
27/03/2024,"1,283.09",919.28K,0.07%
26/03/2024,"1,282.21",941.70K,1.13%
25/03/2024,"1,267.86",1.24M,-1.09%
22/03/2024,"1,281.80",1.38M,0.42%
21/03/2024,"1,276.42",1.25M,1.30%
20/03/2024,"1,260.08",915.57K,1.42%
19/03/2024,"1,242.46",914.65K,-0.09%
