Date,Close,Silver_Close,VNI_Close,USD_VND_Rate,Hseng_Close,Nikkei_Close,Nikkei_Volume,Dax_Close,SP_Close,DJ_Close,DJ_Volume
2012-01-03,1600.5,29.572,350.0,21031.0,18877.41,8537.5,38060.0,6166.57,1277.1,12397.38,152560000.0
2012-01-04,1612.7,29.097,348.84,21031.0,18727.31,8530.0,38060.0,6111.55,1277.3,12418.42,145130000.0
2012-01-05,1620.1,29.296,340.94,21031.0,18813.41,8500.0,24780.0,6095.99,1281.1,12415.7,158440000.0
2012-01-06,1616.8,28.683,336.73,21033.5,18593.06,8390.0,53280.0,6057.92,1277.8,12359.92,131120000.0
2012-01-09,1608.1,28.782,339.32,21034.5,18865.72,8407.5,28860.0,6017.23,1280.7,12392.69,122200000.0
2012-01-10,1631.5,29.815,344.68,21018.0,19004.28,8420.0,28860.0,6162.98,1292.1,12462.47,141230000.0
2012-01-11,1639.6,29.89,347.43,21030.5,19151.94,8430.0,36760.0,6152.34,1292.5,12449.45,130259999.99999999
2012-01-12,1647.7,30.124,348.11,21035.0,19095.38,8380.0,37430.0,6179.21,1295.5,12471.02,128229999.99999999
2012-01-13,1630.8,29.522,354.33,21033.5,19204.42,8500.0,48030.0,6143.08,1289.1,12422.06,161470000.0
2012-01-16,1655.6,30.135,357.87,21018.0,19012.2,8380.0,44760.0,6220.01,1308.0,12578.95,154170000.0
2012-01-18,1659.9,30.543,362.66,20930.0,19686.92,8550.0,67420.0,6354.57,1308.0,12578.95,154170000.0
2012-01-19,1654.5,30.509,373.43,20900.0,19942.95,8650.0,64670.0,6416.26,1314.5,12623.98,148030000.0
2012-01-20,1664.0,31.675,373.0,20870.0,20110.37,8750.0,68280.0,6404.39,1315.4,12720.48,255110000.0
2012-01-23,1678.3,32.27,384.94,20870.0,20439.14,8770.0,32400.0,6436.62,1316.0,12708.82,149860000.0
2012-01-24,1664.5,31.975,384.94,20870.0,20439.14,8790.0,36470.0,6419.22,1314.7,12675.75,125420000.0
2012-01-25,1700.1,33.121,384.94,20900.0,20439.14,8870.0,58270.0,6421.85,1326.0,12756.96,137540000.0
2012-01-26,1726.7,33.743,384.94,20900.0,20439.14,8850.0,40430.0,6539.85,1318.4,12734.63,130840000.0
2012-01-27,1732.2,33.79,384.94,20900.0,20501.67,8830.0,53190.0,6511.98,1316.3,12660.46,164410000.0
2012-01-30,1734.4,33.527,384.94,20968.0,20160.41,8800.0,44990.0,6444.45,1313.0,12653.72,130430000.0
2012-01-31,1740.4,33.262,387.97,21018.0,20390.49,8810.0,45110.0,6458.91,1312.4,12632.91,168070000.0
2012-02-01,1749.5,33.807,390.67,21008.0,20333.37,8790.0,37520.0,6616.64,1324.1,12716.46,143500000.0
2012-02-02,1759.3,34.175,401.61,20985.0,20739.45,8870.0,50150.0,6655.63,1325.5,12705.41,114360000.0
